AssociationCaCode,ScientificName,Provisional,ClassifLevel,DateAddedToMCV
33.005.01,Simmondsia chinensis – Eriogonum fasciculatum – Cylindropuntia californica,Provisional,Association,
33.010.06,Larrea tridentata / wash,,Association,
33.010.07,Larrea tridentata – Krameria grayi – Pleuraphis rigida,,Association,
33.010.08,Larrea tridentata – Ambrosia salsola,,Association,
33.010.09,Larrea tridentata / Eriogonum inflatum,,Association,
33.010.10,Larrea tridentata – Ephedra nevadensis,,Association,
33.010.12,Larrea tridentata – Atriplex polycarpa,,Association,
33.010.13,Larrea tridentata – Pleuraphis rigida,,Association,
33.010.14,Larrea tridentata – Pleuraphis rigida – Lycium andersonii,,Association,
33.010.16,Larrea tridentata – Atriplex hymenelytra,,Association,
33.010.17,Larrea tridentata – Atriplex confertifolia,,Association,
33.010.19,Larrea tridentata / Cryptogamic crust,,Association,
33.010.20,Larrea tridentata (sparse post-burn / herbaceous),,Association,31-Jan-17
33.020.01,Coleogyne ramosissima,,Association,
33.020.02,Coleogyne ramosissima – Atriplex confertifolia,,Association,
33.020.03,Coleogyne ramosissima – Ephedra spp.,,Association,
33.020.05,Coleogyne ramosissima – Eriogonum fasciculatum,,Association,
33.020.06,Coleogyne ramosissima – Eriogonum fasciculatum – Larrea tridentata,,Association,
33.020.07,Coleogyne ramosissima – Larrea tridentata,,Association,
33.020.08,Coleogyne ramosissima – Lycium andersonii,,Association,
33.020.09,Coleogyne ramosissima – Salazaria mexicana,,Association,
33.020.10,Coleogyne ramosissima – Atriplex hymenelytra – Tetradymia axillaris,,Association,
33.020.11,Coleogyne ramosissima – Grayia spinosa,Provisional,Association,
33.020.12,Coleogyne ramosissima – Gutierrezia microcephala,Provisional,Association,
33.020.13,Coleogyne ramosissima – Ephedra viridis,,Association,
33.020.14,Coleogyne ramosissima / Pleuraphis jamesii,,Association,01-Feb-17
33.020.15,Coleogyne ramosissima – Ericameria teretifolia,,Association,01-Feb-17
33.025.01,Encelia virginensis,,Association,
33.025.02,Encelia virginensis – Salvia dorrii,,Association,
33.025.03,Encelia actonii,,Association,07-Sep-16
